code,country,year,Rank_Ratio_2022,Ratio_green/fossil_for_2022,Rank_Percent_2022,Percent_of_Green_Energy_for_2022,lowcarbon,fossil,Other_renewablesTWh,BiofuelsTWh,SolarTWh,WindTWh,HydroTWh,NuclearTWh,GasTWh,CoalTWh,OilTWh
ISL,Iceland,1965,1,0.333048675,1,24.98398453,1.894543,5.68848683,0,0,0,0,1.894543,0,0,0.07602083,5.612466
ISL,Iceland,1966,1,0.302083612,1,23.20001642,1.8448656,6.107135667,0,0,0,0,1.8448656,0,0,0.055976667,6.051159
ISL,Iceland,1967,1,0.332217151,1,24.93716217,1.9649194,5.914563385,0,0,0,0,1.9649194,0,0,0.043021385,5.871542
ISL,Iceland,1968,1,0.322237376,1,24.3706147,2.0311558,6.30329052,0,0,0,0,2.0311558,0,0,0.03397722,6.2693133
ISL,Iceland,1969,1,0.44145297,1,30.62555486,2.548709039,5.77345541,0.005402639,0,0,0,2.5433064,0,0,0.02395511,5.7495003
ISL,Iceland,1970,1,0.714951147,1,41.68930108,4.212238733,5.891645534,0.034308333,0,0,0,4.1779304,0,0,0.016010834,5.8756347
ISL,Iceland,1971,1,0.715479611,1,41.70726406,4.58672429,6.410698805,0.03414389,0,0,0,4.5525804,0,0,0.010999805,6.399699
ISL,Iceland,1972,1,0.742336241,1,42.60579693,5.096041643,6.864869805,0.061471943,0,0,0,5.0345697,0,0,0.007944305,6.8569255
ISL,Iceland,1973,1,0.820400042,1,45.06701951,6.51786128,7.944735428,0.06866778,0,0,0,6.4491935,0,0,0.005011028,7.9397244
ISL,Iceland,1974,1,0.902851028,1,47.44727856,6.693791554,7.41405985,0.016318554,0,0,0,6.677473,0,0,0.00403325,7.4100266
ISL,Iceland,1975,1,0.94411681,1,48.56276152,6.573995497,6.963116667,0.052059997,0,0,0,6.5219355,0,0,0.002706667,6.96041
ISL,Iceland,1976,1,1.000795018,1,50.01986754,7.001392942,6.995831133,0.053946942,0,0,0,6.947446,0,0,0.002753333,6.9930778
ISL,Iceland,1977,1,1.024647839,1,50.60869448,7.496483778,7.316156333,0.045757778,0,0,0,7.450726,0,0,0.002508333,7.313648
ISL,Iceland,1978,1,1.005981993,1,50.14910386,7.754840887,7.708727333,0.051883887,0,0,0,7.702957,0,0,0.002123333,7.706604
ISL,Iceland,1979,1,1.104281389,1,52.47783852,8.46552383,7.666093,0.12947583,0,0,0,8.336048,0,0,0.18333,7.482763
ISL,Iceland,1980,1,1.27036993,1,55.95431445,9.15503649,7.20659099,0.12675749,0,0,0,9.028279,0,0,0.24443999,6.962151
ISL,Iceland,1981,1,1.313336644,1,56.77239615,9.47022367,7.21081203,0.34939167,0,0,0,9.120832,0,0,0.41554803,6.795264
ISL,Iceland,1982,1,1.595409649,1,61.47043684,10.52583215,6.59757333,0.45107415,0,0,0,10.074758,0,0,0.38756803,6.2100053
ISL,Iceland,1983,1,1.684454188,1,62.74847958,11.0966231,6.5876669,0.4872411,0,0,0,10.609382,0,0,0.5539439,6.033723
ISL,Iceland,1984,1,1.634857212,1,62.04727925,11.5444811,7.0614614,0.4915511,0,0,0,11.05293,0,0,0.765592,6.2958694
ISL,Iceland,1985,1,1.595504224,1,61.47184078,11.31703208,7.0930756,0.48587608,0,0,0,10.831156,0,0,0.818528,6.2745476
ISL,Iceland,1986,1,1.64170179,1,62.14561372,11.962676,7.28675334,0.602515,0,0,0,11.360161,0,0,0.92198384,6.3647695
ISL,Iceland,1987,1,1.606381457,1,61.63263066,12.23802046,7.61837757,0.66436446,0,0,0,11.573656,0,0,0.73538387,6.8829937
ISL,Iceland,1988,1,1.639145955,1,62.1089543,13.00981834,7.9369493,0.69691634,0,0,0,12.312902,0,0,0.7415438,7.1954055
ISL,Iceland,1989,1,1.553657425,1,60.84047962,13.18906873,8.4890456,0.73068273,0,0,0,12.458386,0,0,0.792192,7.6968536
ISL,Iceland,1990,1,1.521026996,1,60.33362588,13.0852074,8.6028765,0.8027614,0,0,0,12.282446,0,0,0.7556561,7.8472204
ISL,Iceland,1991,1,1.600498553,1,61.54583516,13.0401335,8.1475447,0.7576875,0,0,0,12.282446,0,0,0.779528,7.3680167
ISL,Iceland,1992,1,1.564070375,1,60.99951039,13.37973507,8.5544329,0.65197307,0,0,0,12.727762,0,0,0.6140719,7.940361
ISL,Iceland,1993,1,1.568011615,1,61.05936615,13.9126236,8.87278096,0.7215006,0,0,0,13.191123,0,0,0.63431996,8.238461
ISL,Iceland,1994,1,1.567718087,1,61.05491467,14.0670514,8.97294706,0.7331144,0,0,0,13.333937,0,0,0.62668806,8.346259
ISL,Iceland,1995,1,1.603689028,1,61.59295565,14.64809735,9.1340011,0.81770635,0,0,0,13.830391,0,0,0.7371681,8.396833
ISL,Iceland,1996,1,1.488870524,1,59.8211321,15.05575955,10.11220204,0.97364855,0,0,0,14.082111,0,0,0.73020804,9.381994
ISL,Iceland,1997,1,1.64974093,1,62.26046144,16.4388006,9.964474,1.0585986,0,0,0,15.380202,0,0,0.757368,9.207106
ISL,Iceland,1998,1,1.825100379,1,64.60302766,18.4571249,10.11293686,1.8519269,0,0,0,16.605198,0,0,0.67990386,9.433033
ISL,Iceland,1999,1,2.064995314,1,67.37352271,21.088147,10.2122009,3.222489,0,0,0,17.865658,0,0,0.7951919,9.417009
ISL,Iceland,2000,1,2.106089642,1,67.80517901,22.5313998,10.698215,3.7530758,0,0,0,18.778324,0,0,1.099672,9.598543
ISL,Iceland,2001,1,2.293833922,1,69.64024223,23.399003,10.200827,4.090112,0,0,0,19.308891,0,0,1.192968,9.007859
ISL,Iceland,2002,1,2.30642952,1,69.75589548,24.352732,10.5586283,4.006466,0,0,0,20.346266,0,0,1.1883333,9.370295
ISL,Iceland,2003,1,2.298331809,1,69.68164339,24.4487726,10.6376166,3.9091456,0,0,0,20.539627,0,0,1.1666666,9.47095
ISL,Iceland,2004,1,2.215039124,1,68.89617944,24.651605,11.1291962,4.099971,0,0,0,20.551634,0,0,1.2222222,9.906974
ISL,Iceland,2005,1,2.189726051,1,68.6493453,24.6479935,11.2561996,4.5603275,0,0,0,20.087666,0,0,1.1666666,10.089533
ISL,Iceland,2006,1,2.438586155,1,70.91827993,27.929216,11.4530364,7.189071,0,0,0,20.740145,0,0,1.1944444,10.258592
ISL,Iceland,2007,1,2.891306388,1,74.30168945,33.45096,11.5694968,9.716657,0,0,0,23.734303,0,0,1.2777778,10.291719
ISL,Iceland,2008,1,4.305494805,1,81.15161664,45.810711,10.6400572,10.888901,0,0,0,34.92181,0,0,1.1111112,9.528946
ISL,Iceland,2009,1,4.715136492,1,82.50260512,46.494371,9.8606628,12.201704,0,0,0,34.292667,0,0,1.0277778,8.832885
ISL,Iceland,2010,1,4.908864869,1,83.07627569,46.843409,9.5426153,11.893092,0,0,0,34.950317,0,0,1.0833333,8.459282
ISL,Iceland,2011,1,4.979623263,1,83.2765384,46.94919428,9.4282623,12.4456835,0.001438889,0,2.18927E-05,34.50205,0,0,1.0833333,8.344929
ISL,Iceland,2012,1,5.076681101,1,83.54364852,47.53476889,9.3633553,13.70699,0.001808889,0,0,33.82597,0,0,1.1083333,8.255022
ISL,Iceland,2013,1,4.929438897,1,83.13499781,48.81411867,9.902571,13.717226,0.025324445,0,0.014948222,35.05662,0,0,1.275,8.627571
ISL,Iceland,2014,1,4.823662208,1,82.82867439,48.56223086,10.0675024,13.61786,0.04739361,0,0.022717249,34.87426,0,0,1.0444444,9.023058
ISL,Iceland,2015,1,4.564305065,1,82.02830384,50.20732605,10.9999935,12.928533,0.13822527,0,0.029337779,37.11123,0,0,1.1555555,9.844438
ISL,Iceland,2016,1,4.041544798,1,80.1648098,49.25460109,12.1870729,13.017205,0.15412417,0,0.024654916,36.058617,0,0,1.3444444,10.8426285
ISL,Iceland,2017,1,3.780749002,1,79.08277553,50.8072,13.4383954,13.201932,0.1693,0,0.021628,37.41434,0,0,1.3333334,12.105062
ISL,Iceland,2018,1,3.602133744,1,78.27094875,52.01774485,14.4408144,15.257941,0.20337054,0,0.011543306,36.54489,0,0,1.3333334,13.107481
ISL,Iceland,2019,1,4.105614427,1,80.41371877,50.92449969,12.4036245,15.222691,0.2004425,0,0.017316194,35.48405,0,0,1.3055555,11.098069
ISL,Iceland,2020,1,6.808362057,1,87.1932168,49.79814388,7.314262,15.02177,0.20486999,0,0.017491888,34.554012,0,0,0,7.314262
ISL,Iceland,2021,1,7.075781464,1,87.61729742,50.91861333,7.1961823,14.567542,0.21453361,0,0.01592772,36.12061,0,0,0,7.1961823
ISL,Iceland,2022,1,5.295014114,1,84.11441211,52.02791913,9.825832,14.820913,0.23401943,0,0.014946695,36.95804,0,0,0,9.825832
SWE,Sweden,1965,2,0.537195259,2,34.94645563,137.3233853,255.6303,0,0,0,0,137.27231,0.051075276,0,25.92705,229.70325
SWE,Sweden,1966,2,0.473416114,2,32.13051015,134.6381681,284.397096,0,0,0,0,134.51048,0.12768805,0,24.740416,259.65668
SWE,Sweden,1967,2,0.51486376,2,33.987463,145.8800458,283.33718,0,0,0,0,145.73817,0.14187583,0,24.55678,258.7804
SWE,Sweden,1968,2,0.458950593,2,31.45758293,144.1859628,314.164455,0,0,0,0,144.1207,0.06526277,0,21.454315,292.71014
SWE,Sweden,1969,2,0.370335506,2,27.02517043,123.8639483,334.464145,0,0,0,0,123.69086,0.17308833,0,20.949095,313.51505
SWE,Sweden,1970,2,0.339294883,2,25.33384449,123.2564135,363.272244,0.41498667,0,0,0,122.682526,0.15890083,0,22.130144,341.1421
SWE,Sweden,1971,2,0.453593895,2,31.20499452,154.5650492,340.756458,0.5107528,0,0,0,153.79892,0.2553764,0,19.949358,320.8071
SWE,Sweden,1972,2,0.472818054,2,32.10295069,163.795867,346.424731,0.721438,0,0,0,158.91747,4.156959,0,17.139631,329.2851
SWE,Sweden,1973,2,0.518383565,2,34.14048843,184.3045434,355.537011,1.2736894,0,0,0,177.04086,5.989994,0,18.945211,336.5918
SWE,Sweden,1974,2,0.545400401,2,35.29185061,176.299862,323.248501,1.139617,0,0,0,169.33199,5.828255,0,20.930021,302.31848
SWE,Sweden,1975,2,0.633883732,2,38.79613461,205.4163083,324.059915,0.9895833,0,0,0,170.46451,33.962215,0,22.575235,301.48468
SWE,Sweden,1976,2,0.589238984,2,37.07680154,208.6480453,354.09749,1.1300403,0,0,0,162.13763,45.380375,0,21.67134,332.42615
SWE,Sweden,1977,2,0.635688179,2,38.86365305,215.8367565,339.532437,1.1491935,0,0,0,158.18413,56.503433,0,17.201967,322.33047
SWE,Sweden,1978,2,0.587977657,2,37.02682179,239.1349983,406.707628,0.8810483,0,0,0,170.77501,67.47894,0,17.646048,389.06158
SWE,Sweden,1979,2,0.549062723,2,35.4448348,241.41907,439.693062,1.107695,0,0,0,180.6129,59.698475,0,20.846622,418.84644
SWE,Sweden,1980,2,0.645794182,2,39.23906095,251.5337142,389.495169,2.3015792,0,0,0,174.07204,75.160095,0,19.868969,369.6262
SWE,Sweden,1981,2,0.819766529,2,45.04789577,286.54372,349.543083,2.94002,0,0,0,176.68898,106.91472,0,17.085283,332.4578
SWE,Sweden,1982,2,0.843760509,2,45.76302102,276.8189288,328.077607,3.1985888,0,0,0,162.82957,110.79077,0,19.009607,309.068
